iter	CrossEntropy
0	0.6742873725
1	0.6609914256
2	0.6414013297
3	0.6336092122
4	0.630548446
5	0.6194109705
6	0.6103478613
7	0.6064309811
8	0.6029540514
9	0.599828641
10	0.5902347383
11	0.5884034395
12	0.5833558388
13	0.5735252505
14	0.5720635018
15	0.570326291
16	0.5563508846
17	0.5504144619
18	0.5400838763
19	0.5391671183
20	0.5383057568
21	0.5295054839
22	0.5254692367
23	0.5213573153
24	0.5143039369
25	0.5088759506
26	0.5080864726
27	0.5032169191
28	0.5027721245
29	0.4992503819
30	0.4959385888
31	0.4920434056
32	0.4891302669
33	0.4801560643
34	0.4750394839
35	0.4688417494
36	0.4686523629
37	0.4684742996
38	0.4624839855
39	0.4569132817
40	0.4549384587
41	0.45482084
42	0.4547102369
43	0.4539567844
44	0.4538598381
45	0.4456159569
46	0.4455453919
47	0.4399111568
48	0.4349889694
49	0.4343723455
50	0.4343311213
51	0.4286308553
52	0.4263379094
53	0.4252555663
54	0.4231321413
55	0.4204048852
56	0.4192155688
57	0.4180269879
58	0.4139606852
59	0.4136521167
60	0.4124420493
61	0.4103172356
62	0.4087157467
63	0.4057902053
64	0.405783339
65	0.4057768795
66	0.4029908345
67	0.4009839944
68	0.400378639
69	0.3961752787
70	0.3940981775
71	0.3919494642
72	0.391397297
73	0.3897978677
74	0.3880699487
75	0.3876223939
76	0.3868033036
77	0.3855729622
78	0.3829836738
79	0.3829833362
80	0.3824794955
81	0.3816318137
82	0.3807269957
83	0.379158352
84	0.3775310052
85	0.3775310052
86	0.3771319427
87	0.376261738
88	0.376261738
89	0.375381732
90	0.3753817318
91	0.3749089456
92	0.3743105645
93	0.3729968369
94	0.3727941979
95	0.3706074872
96	0.3706072767
97	0.3692761322
98	0.3674020537
99	0.3673963349
100	0.3673785027
101	0.3673779843
102	0.3665139171
103	0.3661055106
104	0.3661049789
105	0.3660497395
106	0.3658277055
107	0.3643447226
108	0.3642042587
109	0.3642037407
110	0.3628062527
111	0.3622569655
112	0.3618430765
113	0.3618423765
114	0.3612752866
115	0.3612061257
116	0.3612014689
117	0.3608697434
118	0.3608557366
119	0.3602754864
120	0.3597357952
121	0.35894113
122	0.3587685181
123	0.3577052544
124	0.3574975817
125	0.3574967868
126	0.3567201947
127	0.3564182115
128	0.3562782487
129	0.3560876506
130	0.3556659483
131	0.3556651658
132	0.3553439589
133	0.3548819423
134	0.3548812118
135	0.3547488264
136	0.3545888695
137	0.3543752385
138	0.3540728473
139	0.3540712062
140	0.3540636002
141	0.3540630482
142	0.3528429419
143	0.3525707175
144	0.3518521922
145	0.3518128241
146	0.3518124122
147	0.3509677014
148	0.3505238149
149	0.3505233766
150	0.350302835
151	0.349959458
152	0.3490589438
153	0.349025641
154	0.3488912477
155	0.3487018428
156	0.3487013574
157	0.3473794039
158	0.3470515608
159	0.3470248041
160	0.3466554461
161	0.3463653516
162	0.3462190873
163	0.3456600756
164	0.3454603906
165	0.3454599631
166	0.3452031719
167	0.3449357638
168	0.3444578044
169	0.3444573794
170	0.3438009871
171	0.34298277
172	0.3429577077
173	0.342957246
174	0.3427998797
175	0.3427994611
176	0.3427158311
177	0.3425947614
178	0.3425034029
179	0.3424810973
180	0.3422774159
181	0.3421840836
182	0.3421805924
183	0.3421802941
184	0.3418040265
185	0.3417694587
186	0.3411089167
187	0.3409540757
188	0.3409508154
189	0.3407020647
190	0.3407017458
191	0.3407013848
192	0.3407011025
193	0.3407008369
194	0.3406294721
195	0.3406077609
196	0.3405986683
197	0.3404849772
198	0.340482087
199	0.3402979554
200	0.3401711549
201	0.3401086794
202	0.3398220908
203	0.3396521027
204	0.3395674171
205	0.3393993398
206	0.3386888096
207	0.3384796663
208	0.3375264739
209	0.3374740444
210	0.3373074597
211	0.3370861656
212	0.3360115976
213	0.335785838
214	0.3357856001
215	0.3357853763
216	0.3357091464
217	0.3356627201
218	0.3354411305
219	0.3353543171
220	0.335286956
221	0.3352743301
222	0.3352004853
223	0.3350665551
224	0.3350059802
225	0.3348077493
226	0.3348075984
227	0.3347463465
228	0.3337767551
229	0.3337766941
230	0.3336988719
231	0.3336016214
232	0.3331824433
233	0.3331823523
234	0.3330589575
235	0.3329564068
236	0.3318689383
237	0.3315934214
238	0.331540146
239	0.3313708242
240	0.3313322251
241	0.3312750579
242	0.3303374036
243	0.3303302565
244	0.3302593238
245	0.3302575528
246	0.3302574535
247	0.3302534491
248	0.3302243124
249	0.3301813265
250	0.3301556337
251	0.3300952132
252	0.3299535326
253	0.3285248486
254	0.3284770066
255	0.3284768434
256	0.3284743486
257	0.3284495705
258	0.328277096
259	0.3282721743
260	0.3282609
261	0.3282183629
262	0.3281990756
263	0.3280918894
264	0.3273239313
265	0.3272390808
266	0.3272318889
267	0.327183562
268	0.3267846699
269	0.3267645968
270	0.3266836442
271	0.3266836334
272	0.3266831739
273	0.3266183361
274	0.3261269771
275	0.3260628057
276	0.3260428439
277	0.325955464
278	0.3258712202
279	0.3258711822
280	0.3257419382
281	0.3257419256
282	0.3257418834
283	0.3256551181
284	0.325652773
285	0.3256527727
286	0.3253091032
287	0.3252512974
288	0.3249826309
289	0.3249825795
290	0.3249420072
291	0.3242717547
292	0.3241952085
293	0.3240619171
294	0.3236453996
295	0.3236452785
296	0.3236452753
297	0.3236451731
298	0.323572638
299	0.3235400781
300	0.3232789543
301	0.3231310219
302	0.3227151735
303	0.3227018865
304	0.3226929528
305	0.3226702647
306	0.3225945888
307	0.3225932368
308	0.3225660109
309	0.3225388479
310	0.3225076632
311	0.32240385
312	0.3220595357
313	0.3220582934
314	0.3220582308
315	0.3220581801
316	0.3219736274
317	0.3219487027
318	0.3219146395
319	0.321857097
320	0.3215919591
321	0.3215919359
322	0.3214245642
323	0.3213671434
324	0.32136303
325	0.3213450276
326	0.3213450192
327	0.3213449854
328	0.3213449813
329	0.3213449244
330	0.3213225849
331	0.3213225779
332	0.3213225709
333	0.3210311849
334	0.3209671356
335	0.3209670936
336	0.3209670871
337	0.3209670854
338	0.3208529748
339	0.3204837522
340	0.3204221301
341	0.3204037982
342	0.3202612958
343	0.3202612922
344	0.3201662758
345	0.3201130913
346	0.3201130598
347	0.3201130148
348	0.3201130116
349	0.3200927231
350	0.3200720977
351	0.3197694402
352	0.3197464648
353	0.3197464327
354	0.3197304708
355	0.3197252154
356	0.3193669536
357	0.3193657776
358	0.3193657708
359	0.3193657577
360	0.3193657428
361	0.3192983275
362	0.3192983262
363	0.3191959716
364	0.3191701495
365	0.3191662841
366	0.3191547475
367	0.3191039521
368	0.3190718471
369	0.3190291869
370	0.3188821927
371	0.3187848628
372	0.3187530849
373	0.318686854
374	0.3186460548
375	0.3186460546
376	0.3186460545
377	0.3185498777
378	0.3184298495
379	0.3184231782
380	0.3176935161
381	0.3176870031
382	0.3170684974
383	0.3170684972
384	0.3170317478
385	0.316970161
386	0.3169484214
387	0.3168853292
388	0.3163323099
389	0.3161842806
390	0.3161813017
391	0.3161356139
392	0.3161335143
393	0.3161335143
394	0.3160297167
395	0.3154137752
396	0.3153717787
397	0.3153006969
398	0.3151730301
399	0.3151730292
400	0.3145252695
401	0.314511723
402	0.3145004959
403	0.3145004955
404	0.3144656712
405	0.3139769268
406	0.3137842198
407	0.3137224134
408	0.3136704841
409	0.3136681028
410	0.3136673638
411	0.3136673618
412	0.3136537362
413	0.3136537339
414	0.3136537338
415	0.3136239338
416	0.3136006803
417	0.3135931859
418	0.3135517791
419	0.3135517386
420	0.3135397883
421	0.3133803562
422	0.3132428696
423	0.3131494233
424	0.3131494233
425	0.3130958251
426	0.3130531751
427	0.3129895473
428	0.3129895473
429	0.3129847028
430	0.3129212753
431	0.3128948996
432	0.3128841205
433	0.3128817287
434	0.3127847347
435	0.3127694856
436	0.3127684879
437	0.3127574058
438	0.3127304093
439	0.312105922
440	0.3120142268
441	0.3120142268
442	0.3118835191
443	0.311883519
444	0.311883519
445	0.3115276996
446	0.3113628742
447	0.3111940728
448	0.3111676146
449	0.3111448439
450	0.3111434983
451	0.3111434983
452	0.3111434983
453	0.3111434982
454	0.3111372274
455	0.3110189934
456	0.311018871
457	0.3106317331
458	0.3106201837
459	0.3104874408
460	0.3098777674
461	0.3098267512
462	0.3094673366
463	0.3094665736
464	0.3094665728
465	0.3094414369
466	0.3094294172
467	0.3094081712
468	0.3091222044
469	0.3090430258
470	0.3090384501
471	0.3088959204
472	0.30886881
473	0.308754467
474	0.3087480209
475	0.3087480208
476	0.3087302145
477	0.3086128433
478	0.3085016335
479	0.3085016334
480	0.3085016252
481	0.3085016251
482	0.3084123168
483	0.3083916367
484	0.308368453
485	0.3083684342
486	0.3082767213
487	0.3082659575
488	0.3082241884
489	0.3081792977
490	0.3081322469
491	0.3081318024
492	0.3079937868
493	0.3079937431
494	0.307885965
495	0.3078122804
496	0.3078122801
497	0.3077987576
498	0.3076986072
499	0.3076394622
500	0.3076394618
501	0.3075882814
502	0.3075757009
503	0.3075713116
504	0.3075713115
505	0.3074982196
506	0.3074886685
507	0.3074886677
508	0.3074716444
509	0.3073217349
510	0.3073076857
511	0.3072428536
512	0.3070809918
513	0.3070000403
514	0.3069770032
515	0.3069597689
516	0.3066801389
517	0.3064191094
518	0.3063913921
519	0.3063077178
520	0.3063077178
521	0.3059995798
522	0.3059793582
523	0.3059442298
524	0.3059442293
525	0.3059356679
526	0.305923107
527	0.3059228313
528	0.3055520302
529	0.3055422885
530	0.3055422885
531	0.3054527413
532	0.3054379349
533	0.3054347666
534	0.3053983614
535	0.3053445412
536	0.305322088
537	0.3053087736
538	0.3053087735
539	0.3053087735
540	0.3050587236
541	0.3050587235
542	0.3050587123
543	0.3050587123
544	0.3050002631
545	0.3042443051
546	0.3042010379
547	0.3041478125
548	0.3041003857
549	0.3041003856
550	0.3041003855
551	0.304099988
552	0.3040915004
553	0.3040706888
554	0.303698857
555	0.3036988565
556	0.3036907889
557	0.3034681648
558	0.3034681641
559	0.3031958475
560	0.3031880177
561	0.3029330363
562	0.3027942639
563	0.3027942637
564	0.3027212339
565	0.3027086708
566	0.3026909453
567	0.3026496487
568	0.3025783519
569	0.3025781803
570	0.3025781796
571	0.302537875
572	0.302537874
573	0.3025376162
574	0.3024360622
575	0.3024237426
576	0.3024055868
577	0.302375701
578	0.3023729567
579	0.3023729564
580	0.302205933
581	0.3021456393
582	0.302140609
583	0.3021391257
584	0.3021223341
585	0.302119048
586	0.3021190478
587	0.3017517111
588	0.3017517104
589	0.3016725104
590	0.3016588785
591	0.301579553
592	0.3015392783
593	0.3015371321
594	0.3015304193
595	0.3014997068
596	0.3014807845
597	0.3014706046
598	0.3014692999
599	0.3014024795
600	0.3013878649
601	0.3013877864
602	0.3013807962
603	0.3013807954
604	0.3013708965
605	0.3013390138
606	0.3013359012
607	0.3013359009
608	0.3013300553
609	0.3013300545
610	0.3012606303
611	0.3012555833
612	0.3012555823
613	0.3012555814
614	0.3012532653
615	0.3012527006
616	0.3009247133
617	0.3003377802
618	0.3002405686
619	0.3002405664
620	0.2998753726
621	0.2997759991
622	0.2997757754
623	0.299769004
624	0.2997651792
625	0.2997631606
626	0.2997487352
627	0.2997487348
628	0.2997238483
629	0.2997238479
630	0.2996284874
631	0.2995969022
632	0.2995969021
633	0.2995817952
634	0.2995765213
635	0.2995437927
636	0.2995433615
637	0.2995077629
638	0.2993699841
639	0.2993523439
640	0.2993520706
641	0.2993002801
642	0.2992782511
643	0.2992782143
644	0.2992723752
645	0.2992154784
646	0.2992154598
647	0.2992101941
648	0.2991888111
649	0.2991888095
650	0.2991888081
651	0.2991804983
652	0.2991804844
653	0.2991804844
654	0.2991801411
655	0.2991801388
656	0.2991525072
657	0.2991525061
658	0.2991476533
659	0.2991476527
660	0.2991467136
661	0.299107665
662	0.2988829431
663	0.2987685671
664	0.2986351082
665	0.2985983793
666	0.2984774028
667	0.2984672314
668	0.2981399274
669	0.2981297872
670	0.2978380844
671	0.297764557
672	0.2977570826
673	0.2977522891
674	0.2977293953
675	0.2977293945
676	0.2974110826
677	0.2974110779
678	0.2972785778
679	0.2972737714
680	0.2972706845
681	0.2972414027
682	0.2969569741
683	0.2967549152
684	0.2965880618
685	0.2965803683
686	0.2965803671
687	0.2965773746
688	0.2964996138
689	0.2964996101
690	0.2964996082
691	0.2964709396
692	0.2964559104
693	0.296438585
694	0.2964360432
695	0.2962518374
696	0.2961918288
697	0.2961457799
698	0.2961280717
699	0.2961280709
700	0.2958555858
701	0.2958351099
702	0.2958326795
703	0.2951804457
704	0.2951454179
705	0.2951450409
706	0.2951275204
707	0.2951275179
708	0.2951057722
709	0.2951037856
710	0.2950511748
711	0.2950443504
712	0.2947279351
713	0.2947279348
714	0.2947279344
715	0.2947245299
716	0.2946201034
717	0.2946200991
718	0.2946155617
719	0.2946151948
720	0.2946151911
