iter	Passed	Remaining
0	4	4835
1	8	4012
2	12	4138
3	15	3933
4	18	3599
5	20	3451
6	23	3303
7	26	3252
8	28	3131
9	30	3022
10	33	3046
11	35	2951
12	38	2904
13	40	2871
14	42	2809
15	44	2757
16	50	2938
17	53	2905
18	69	3609
19	72	3532
20	74	3458
21	78	3494
22	80	3430
23	82	3374
24	92	3588
25	96	3612
26	98	3541
27	101	3514
28	102	3445
29	105	3406
30	107	3349
31	109	3303
32	110	3247
33	114	3256
34	118	3261
35	121	3260
36	123	3216
37	125	3170
38	130	3214
39	136	3273
40	138	3247
41	140	3213
42	142	3177
43	144	3147
44	146	3110
45	156	3238
46	157	3201
47	172	3426
48	175	3410
49	177	3376
50	179	3337
51	192	3503
52	195	3485
53	197	3452
54	199	3427
55	203	3427
56	208	3457
57	210	3426
58	216	3455
59	218	3424
60	221	3411
61	224	3392
62	227	3380
63	231	3379
64	232	3345
65	234	3317
66	239	3339
67	242	3329
68	244	3303
69	254	3381
70	256	3361
71	259	3348
72	261	3326
73	264	3314
74	267	3299
75	269	3275
76	271	3252
77	275	3250
78	278	3242
79	279	3215
80	281	3195
81	284	3180
82	287	3171
83	292	3191
84	295	3176
85	296	3150
86	298	3128
87	301	3126
88	303	3103
89	306	3099
90	308	3079
91	310	3060
92	312	3047
93	314	3033
94	316	3019
95	323	3044
96	324	3022
97	329	3028
98	338	3081
99	340	3062
100	342	3044
101	343	3024
102	350	3054
103	353	3046
104	355	3027
105	356	3010
106	358	2992
107	363	3003
108	365	2986
109	366	2967
110	373	2994
111	376	2981
112	381	2995
113	383	2978
114	386	2972
115	388	2959
116	390	2943
117	391	2929
118	393	2914
119	395	2902
120	398	2897
121	407	2930
122	409	2922
123	412	2914
124	414	2901
125	416	2885
126	418	2879
127	420	2866
128	422	2852
129	424	2839
130	434	2882
131	436	2870
132	439	2864
133	441	2853
134	442	2838
135	444	2823
136	446	2810
137	448	2799
138	450	2788
139	451	2775
140	453	2763
141	455	2749
142	458	2746
143	461	2741
144	475	2801
145	477	2791
146	478	2778
147	482	2779
148	485	2773
149	487	2760
150	489	2754
151	492	2745
152	497	2753
153	499	2742
154	501	2732
155	504	2730
156	506	2719
157	511	2723
158	513	2714
159	515	2705
160	520	2714
161	524	2712
162	526	2702
163	532	2715
164	534	2704
165	535	2692
166	538	2687
167	541	2680
168	544	2678
169	546	2667
170	552	2677
171	557	2682
172	558	2672
173	561	2663
174	563	2656
175	565	2645
176	566	2635
177	569	2630
178	571	2620
179	573	2610
180	575	2604
181	577	2594
182	578	2584
183	580	2574
184	583	2569
185	585	2561
186	602	2618
187	605	2613
188	607	2604
189	610	2601
190	611	2591
191	613	2581
192	615	2572
193	616	2562
194	618	2553
195	620	2545
196	622	2538
197	625	2531
198	626	2522
199	629	2517
200	631	2509
201	632	2499
202	636	2499
203	640	2500
204	643	2494
205	645	2486
206	659	2525
207	662	2521
208	678	2566
209	680	2558
210	682	2551
211	684	2545
212	688	2544
213	691	2539
